 time       |  1001 |  1002 |  1003 |  1004 |  1005 |  1006 |  1007 |  1008
------------+-------+-------+-------+-------+-------+-------+-------+------
00:00:49.00 | 0.000 | 1.335 | 0.000 | 0.000 | 1.270 | 0.000 | 1.675 | 0.927
00:00:50.00 | 0.515 | 1.279 | 0.000 | 0.000 | 1.286 | 0.000 | 1.641 | 0.920
00:00:51.00 | 1.319 | 1.286 | 0.000 | 0.000 | 1.270 | 0.000 | 1.666 | 0.962
00:00:52.00 | 1.701 | 1.339 | 0.000 | 0.000 | 1.275 | 0.000 | 1.687 | 1.121
00:00:53.00 | 1.591 | 1.287 | 0.000 | 0.000 | 1.279 | 0.000 | 1.819 | 1.106
00:00:54.00 | 1.605 | 1.293 | 0.000 | 0.000 | 1.293 | 0.000 | 1.786 | 1.139
00:00:55.00 | 1.664 | 1.300 | 0.000 | 0.000 | 1.284 | 0.000 | 1.707 | 1.122
00:00:56.00 | 1.515 | 1.291 | 0.000 | 0.000 | 1.327 | 0.000 | 1.595 | 1.130
00:00:57.00 | 1.396 | 1.287 | 0.000 | 0.000 | 1.295 | 0.000 | 1.600 | 1.107
00:00:58.00 | 1.356 | 1.291 | 0.000 | 0.000 | 1.278 | 0.000 | 1.726 | 1.108
00:00:59.00 | 1.453 | 1.277 | 0.000 | 0.000 | 1.277 | 0.000 | 1.622 | 1.156
00:01:00.00 | 1.514 | 1.294 | 0.000 | 0.000 | 1.286 | 0.000 | 1.598 | 1.115
00:01:01.00 | 1.478 | 1.298 | 0.000 | 0.000 | 1.271 | 0.000 | 1.639 | 1.122
00:01:02.00 | 1.387 | 1.301 | 0.000 | 0.000 | 1.284 | 0.000 | 1.631 | 1.131
00:01:03.00 | 1.299 | 1.291 | 0.000 | 0.000 | 1.264 | 0.000 | 1.661 | 1.152
00:01:04.00 | 1.270 | 1.287 | 0.000 | 0.000 | 1.271 | 0.000 | 1.591 | 1.099
00:01:05.00 | 1.253 | 1.293 | 0.000 | 0.000 | 1.270 | 0.000 | 1.793 | 1.105
00:01:06.00 | 1.253 | 1.283 | 0.000 | 0.000 | 1.270 | 0.000 | 1.601 | 1.136
00:01:07.00 | 1.285 | 1.309 | 0.000 | 0.000 | 1.270 | 0.000 | 1.606 | 1.149
00:01:08.00 | 1.277 | 1.284 | 0.000 | 0.000 | 1.284 | 0.000 | 1.827 | 1.114
00:01:09.00 | 1.262 | 1.296 | 0.000 | 0.000 | 1.322 | 0.000 | 1.601 | 1.116
00:01:10.00 | 1.342 | 1.299 | 0.000 | 0.000 | 1.264 | 0.000 | 1.648 | 1.123
00:01:11.00 | 1.320 | 1.294 | 0.000 | 0.000 | 1.245 | 0.000 | 1.573 | 1.132
00:01:12.00 | 1.310 | 1.300 | 0.000 | 0.000 | 1.277 | 0.000 | 1.588 | 1.096
00:01:13.00 | 1.400 | 1.341 | 0.000 | 0.000 | 1.291 | 0.000 | 1.602 | 1.115
00:01:14.00 | 1.371 | 1.294 | 0.000 | 0.000 | 1.279 | 0.000 | 1.726 | 1.123
00:01:15.00 | 1.358 | 1.286 | 0.000 | 0.000 | 1.293 | 0.000 | 1.597 | 1.116
00:01:16.00 | 1.312 | 1.288 | 0.000 | 0.000 | 1.280 | 0.000 | 1.609 | 1.107
00:01:17.00 | 1.327 | 1.297 | 0.000 | 0.000 | 1.275 | 0.000 | 1.747 | 1.151
00:01:18.00 | 1.428 | 1.294 | 0.000 | 0.000 | 1.270 | 0.000 | 1.642 | 1.123
00:01:19.00 | 1.361 | 1.294 | 0.000 | 0.000 | 1.278 | 0.000 | 1.682 | 1.132
00:01:20.00 | 1.392 | 1.297 | 0.000 | 0.000 | 1.277 | 0.000 | 1.748 | 1.107
00:01:21.00 | 1.377 | 1.277 | 0.000 | 0.000 | 1.293 | 0.000 | 1.766 | 1.096
00:01:22.00 | 1.400 | 1.298 | 0.000 | 0.000 | 1.292 | 0.000 | 1.683 | 1.101
00:01:23.00 | 1.377 | 1.302 | 0.000 | 0.000 | 1.286 | 0.000 | 1.665 | 1.123
00:01:24.00 | 1.332 | 1.283 | 0.000 | 0.000 | 1.277 | 0.000 | 1.572 | 1.151
00:01:25.00 | 1.209 | 1.277 | 0.000 | 0.000 | 1.269 | 0.000 | 1.725 | 1.122
00:01:26.00 | 1.204 | 1.305 | 0.000 | 0.000 | 1.285 | 0.000 | 1.842 | 1.145
00:01:27.00 | 1.202 | 1.303 | 0.000 | 0.000 | 1.287 | 0.000 | 1.591 | 1.141
00:01:28.00 | 1.209 | 1.302 | 0.000 | 0.000 | 1.269 | 0.000 | 1.716 | 1.088
